"Event";"Round";"Heat";"Lap";"Bib";"Lane";"idStatus";"Time";"Result";"Rank";
   0;   0;   1;9999;"     0";  1; 1;        0;"       0.00  ";1
   0;   0;   2;9999;"   125";  1; 1; 11872570;"   19:47.26  ";1
   0;   0;   2;9999;"   124";  2; 1; 12214505;"   20:21.46  ";2
   0;   0;   2;9999;"   348";  3; 1; 12721110;"   21:12.12  ";3
   0;   0;   2;9999;"    63";  4; 1; 12883785;"   21:28.38  ";4
   0;   0;   2;9999;"   117";  5; 2;        0;"       0.00  ";0
   0;   0;   2;9999;"   269";  6; 1; 14590150;"   24:19.02  ";5
   0;   0;   3;9999;"   195";  1; 1;   124237;"      12.43  ";6
   0;   0;   3;9999;"   146";  2; 1;   123997;"      12.40  ";5
   0;   0;   3;9999;"   198";  3; 1;   117867;"      11.79  ";2
   0;   0;   3;9999;"   193";  4; 1;   118927;"      11.90  ";3
   0;   0;   3;9999;"   343";  5; 1;   116962;"      11.70  ";1
   0;   0;   3;9999;"   353";  6; 1;   126032;"      12.61  ";8
   0;   0;   3;9999;"   234";  7; 1;   123222;"      12.33  ";4
   0;   0;   3;9999;"   145";  8; 1;   124687;"      12.47  ";7
   0;   0;   4;9999;"   300";  1; 1;   111213;"      11.13  ";7
   0;   0;   4;9999;"    15";  2; 1;   109108;"      10.92  ";6
   0;   0;   4;9999;"   182";  3; 1;   108553;"      10.86  ";4
   0;   0;   4;9999;"    47";  4; 1;   105388;"      10.54  ";2
   0;   0;   4;9999;"   102";  5; 1;   105163;"      10.52  ";1
   0;   0;   4;9999;"   179";  6; 1;   106398;"      10.64  ";3
   0;   0;   4;9999;"   248";  7; 1;   108623;"      10.87  ";5
   0;   0;   4;9999;"    86";  8; 1;   116008;"      11.61  ";8
   0;   0;   5;9999;"   310";  1; 1;   714627;"    1:11.47  ";7
   0;   0;   5;9999;"   202";  2; 1;   703392;"    1:10.34  ";6
   0;   0;   5;9999;"   311";  3; 1;   648297;"    1:04.83  ";4
   0;   0;   5;9999;"   207";  4; 1;   629017;"    1:02.91  ";1
   0;   0;   5;9999;"   362";  5; 1;   629987;"    1:03.00  ";2
   0;   0;   5;9999;"   206";  6; 1;   638547;"    1:03.86  ";3
   0;   0;   5;9999;"   238";  7; 1;   696307;"    1:09.64  ";5
   0;   0;   6;9999;"    50";  1; 1;   578459;"      57.85  ";8
   0;   0;   6;9999;"   267";  2; 1;   558739;"      55.88  ";5
   0;   0;   6;9999;"   170";  3; 1;   528424;"      52.85  ";4
   0;   0;   6;9999;"    96";  4; 1;   511174;"      51.12  ";1
   0;   0;   6;9999;"    44";  5; 1;   514439;"      51.45  ";3
   0;   0;   6;9999;"    17";  6; 1;   513639;"      51.37  ";2
   0;   0;   6;9999;"   252";  7; 1;   575624;"      57.57  ";7
   0;   0;   6;9999;"   177";  8; 1;   572779;"      57.28  ";6
   0;   0;   8;9999;"   116";  1; 1;  9453115;"   15:45.32  ";1
   0;   0;   8;9999;"   277";  2; 1;  9633915;"   16:03.40  ";3
   0;   0;   8;9999;"   163";  3; 1;  9910625;"   16:31.07  ";7
   0;   0;   8;9999;"    37";  4; 1; 10670250;"   17:47.03  ";11
   0;   0;   8;9999;"    91";  4; 1; 10625110;"   17:42.52  ";10
   0;   0;   8;9999;"   110";  5; 1;  9780320;"   16:18.04  ";5
   0;   0;   8;9999;"   130";  6; 1; 10841325;"   18:04.14  ";12
   0;   0;   8;9999;"   137";  6; 1; 11041745;"   18:24.18  ";13
   0;   0;   8;9999;"   287";  6; 1; 11677970;"   19:27.80  ";14
   0;   0;   8;9999;"   289";  6; 1; 12929770;"   21:32.98  ";15
   0;   0;   8;9999;"   364";  7; 1;  9570200;"   15:57.02  ";2
   0;   0;   8;9999;"   174";  8; 1;  9762065;"   16:16.21  ";4
   0;   0;   8;9999;"    36";  9; 1; 10029765;"   16:42.98  ";8
   0;   0;   8;9999;"   158"; 10; 1;  9870330;"   16:27.04  ";6
   0;   0;   8;9999;"   306"; 11; 1; 10551725;"   17:35.18  ";9
   0;   0;   9;9999;"   197";  1; 1;  1469695;"    2:26.97  ";6
   0;   0;   9;9999;"   294";  1; 1;  1535245;"    2:33.53  ";13
   0;   0;   9;9999;"   281";  2; 1;  1514355;"    2:31.44  ";11
   0;   0;   9;9999;"   290";  2; 1;  1494455;"    2:29.45  ";7
   0;   0;   9;9999;"   361";  3; 1;  1363685;"    2:16.37  ";2
   0;   0;   9;9999;"   365";  4; 1;  1290330;"    2:09.04  ";1
   0;   0;   9;9999;"    61";  5; 1;  1373985;"    2:17.40  ";3
   0;   0;   9;9999;"   200";  6; 1;  1401170;"    2:20.12  ";4
   0;   0;   9;9999;"   201";  6; 1;  1519670;"    2:31.97  ";12
   0;   0;   9;9999;"   334";  7; 1;  1503135;"    2:30.32  ";9
   0;   0;   9;9999;"   341";  7; 1;  1426630;"    2:22.67  ";5
   0;   0;   9;9999;"   156";  8; 1;  1503515;"    2:30.36  ";10
   0;   0;   9;9999;"   342";  8; 1;  1498110;"    2:29.82  ";8
   0;   0;  10;9999;"   255";  1; 1;  1222257;"    2:02.23  ";7
   0;   0;  10;9999;"   171";  2; 1;  1210077;"    2:01.01  ";5
   0;   0;  10;9999;"   119";  3; 1;  1153287;"    1:55.33  ";2
   0;   0;  10;9999;"    28";  4; 1;  1135912;"    1:53.60  ";1
   0;   0;  10;9999;"   246";  5; 1;  1177492;"    1:57.75  ";3
   0;   0;  10;9999;"    99";  6; 1;  1203722;"    2:00.38  ";4
   0;   0;  10;9999;"    29";  7; 1;  1215117;"    2:01.52  ";6
   0;   0;  10;9999;"   217";  8; 2;        0;"       0.00  ";0
   0;   0;  11;9999;"   332";  2; 1;   150709;"      15.08  ";4
   0;   0;  11;9999;"   193";  3; 3;        0;"       0.00  ";0
   0;   0;  11;9999;"   143";  4; 1;   128994;"      12.90  ";1
   0;   0;  11;9999;"   169";  5; 1;   135599;"      13.56  ";2
   0;   0;  11;9999;"   198";  6; 1;   145114;"      14.52  ";3
   0;   0;  12;9999;"    30";  2; 1;   154764;"      15.48  ";5
   0;   0;  12;9999;"    47";  3; 1;   143574;"      14.36  ";1
   0;   0;  12;9999;"   319";  4; 1;   148534;"      14.86  ";4
   0;   0;  12;9999;"   273";  5; 1;   146999;"      14.70  ";3
   0;   0;  12;9999;"    17";  6; 1;   145554;"      14.56  ";2
   0;   0;  12;9999;"   317";  7; 2;        0;"       0.00  ";0
   0;   0;  13;9999;"   133";  1; 1;  2771716;"    4:37.18  ";1
   0;   0;  13;9999;"   291";  2; 1;  2801771;"    4:40.18  ";2
   0;   0;  13;9999;"   286";  3; 1;  2810631;"    4:41.07  ";3
   0;   0;  13;9999;"   211";  4; 1;  2875411;"    4:47.55  ";4
   0;   0;  13;9999;"   360";  5; 1;  2998856;"    4:59.89  ";6
   0;   0;  13;9999;"    43";  6; 1;  2989591;"    4:58.96  ";5
   0;   0;  13;9999;"   144";  7; 1;  3072251;"    5:07.23  ";8
