"Event";"Round";"Heat";"Date";"Hour";"Wind";"Temp";"File";"Official"
   0;   0;   1;"   15.08.2020";" 11:02:16.7837";"       N/A";"       N/A";" ";"Official";
   0;   0;   2;"   15.08.2020";" 11:24:37.8200";"       N/A";"       N/A";" ";"        ";
   0;   0;   3;"   15.08.2020";" 11:55:53.0063";"   2.3 m/s";"       N/A";" ";"        ";
   0;   0;  27;"   15.08.2020";" 12:01:12.2508";"   1.6 m/s";"       N/A";" ";"Official";
   0;   0;  26;"   15.08.2020";" 11:58:35.2921";"   2.6 m/s";"       N/A";" ";"Official";
   0;   0;  28;"   15.08.2020";" 12:06:17.7075";"   1.7 m/s";"       N/A";" ";"        ";
   0;   0;  29;"   15.08.2020";" 12:08:49.0449";"   1.1 m/s";"       N/A";" ";"        ";
   0;   0;   4;"   15.08.2020";" 12:11:53.4567";"   1.5 m/s";"       N/A";" ";"        ";
   0;   0;  31;"   15.08.2020";" 12:18:30.6865";"   2.6 m/s";"       N/A";" ";"        ";
   0;   0;  30;"   15.08.2020";" 12:14:49.7663";"   1.6 m/s";"       N/A";" ";"        ";
   0;   0;  32;"   15.08.2020";" 12:20:47.0270";"   1.5 m/s";"       N/A";" ";"        ";
   0;   0;  33;"   15.08.2020";" 12:23:22.7501";"   2.2 m/s";"       N/A";" ";"Official";
   0;   0;  34;"   15.08.2020";" 12:25:53.5397";"   2.2 m/s";"       N/A";" ";"        ";
   0;   0;  35;"   15.08.2020";" 12:27:58.5066";"   2.8 m/s";"       N/A";" ";"        ";
   0;   0;   5;"   15.08.2020";" 12:35:01.5908";"       N/A";"       N/A";" ";"        ";
   0;   0;  36;"   15.08.2020";" 12:37:42.6216";"       N/A";"       N/A";" ";"        ";
   0;   0;   6;"   15.08.2020";" 12:42:01.6396";"       N/A";"       N/A";" ";"        ";
   0;   0;  37;"   15.08.2020";" 12:45:00.0563";"       N/A";"       N/A";" ";"        ";
   0;   0;   8;"   15.08.2020";" 13:00:09.1665";"       N/A";"       N/A";" ";"        ";
