"Event";"Round";"Heat";"Date";"Hour";"Wind";"Temp";"File";"Official"
   0;   0;   1;"   19.01.2020";" 11:31:16.3229";"       N/A";"       N/A";" ";"        ";
   0;   0;   2;"   19.01.2020";" 11:33:38.6909";"       N/A";"       N/A";" ";"        ";
   0;   0;   3;"   19.01.2020";" 11:35:50.7250";"       N/A";"       N/A";" ";"        ";
   0;   0;   5;"   19.01.2020";" 11:40:27.8229";"       N/A";"       N/A";" ";"Official";
   0;   0;   6;"   19.01.2020";" 11:49:08.9737";"       N/A";"       N/A";" ";"        ";
   0;   0;   7;"   19.01.2020";" 11:51:19.4338";"       N/A";"       N/A";" ";"        ";
   0;   0;   8;"   19.01.2020";" 11:52:54.8031";"       N/A";"       N/A";" ";"        ";
   0;   0;   9;"   19.01.2020";" 11:54:35.8735";"       N/A";"       N/A";" ";"        ";
   0;   0;  10;"   19.01.2020";" 11:56:58.1424";"       N/A";"       N/A";" ";"        ";
   0;   0;  11;"   19.01.2020";" 11:58:33.1105";"       N/A";"       N/A";" ";"        ";
   0;   0;  12;"   19.01.2020";" 12:00:18.5083";"       N/A";"       N/A";" ";"        ";
   0;   0;  13;"   19.01.2020";" 12:02:41.4917";"       N/A";"       N/A";" ";"        ";
   0;   0;  14;"   19.01.2020";" 12:05:31.2762";"       N/A";"       N/A";" ";"        ";
   0;   0;  16;"   19.01.2020";" 12:10:28.8263";"       N/A";"       N/A";" ";"        ";
   0;   0;  17;"   19.01.2020";" 12:12:21.3765";"       N/A";"       N/A";" ";"        ";
   0;   0;  18;"   19.01.2020";" 12:13:56.2143";"       N/A";"       N/A";" ";"        ";
   0;   0;  19;"   19.01.2020";" 12:15:34.7989";"       N/A";"       N/A";" ";"        ";
   0;   0;  20;"   19.01.2020";" 12:17:50.6867";"       N/A";"       N/A";" ";"        ";
   0;   0;  21;"   19.01.2020";" 12:19:19.2611";"       N/A";"       N/A";" ";"        ";
   0;   0;  22;"   19.01.2020";" 12:21:07.2513";"       N/A";"       N/A";" ";"        ";
   0;   0;  15;"   19.01.2020";" 12:22:58.1688";"       N/A";"       N/A";" ";"        ";
   0;   0;  23;"   19.01.2020";" 12:25:38.1247";"       N/A";"       N/A";" ";"        ";
   0;   0;  24;"   19.01.2020";" 12:27:39.3137";"       N/A";"       N/A";" ";"        ";
   0;   0;  25;"   19.01.2020";" 12:28:55.4558";"       N/A";"       N/A";" ";"        ";
   0;   0;  26;"   19.01.2020";" 12:30:37.9053";"       N/A";"       N/A";" ";"        ";
   0;   0;  27;"   19.01.2020";" 12:32:21.6287";"       N/A";"       N/A";" ";"        ";
   0;   0;  28;"   19.01.2020";" 12:33:56.7670";"       N/A";"       N/A";" ";"        ";
   0;   0;  30;"   19.01.2020";" 12:37:00.0511";"       N/A";"       N/A";" ";"        ";
   0;   0;  29;"   19.01.2020";" 12:35:24.5188";"       N/A";"       N/A";" ";"        ";
   0;   0;  32;"   19.01.2020";" 12:40:03.7131";"       N/A";"       N/A";" ";"        ";
   0;   0;  31;"   19.01.2020";" 12:38:36.4237";"       N/A";"       N/A";" ";"        ";
   0;   0;  33;"   19.01.2020";" 12:41:44.4468";"       N/A";"       N/A";" ";"        ";
   0;   0;  34;"   19.01.2020";" 12:43:21.0777";"       N/A";"       N/A";" ";"Official";
   0;   0;  41;"   19.01.2020";" 12:49:25.9639";"       N/A";"       N/A";" ";"Official";
   0;   0;  42;"   19.01.2020";" 12:51:26.8370";"       N/A";"       N/A";" ";"        ";
   0;   0;  43;"   19.01.2020";" 12:52:53.9942";"       N/A";"       N/A";" ";"        ";
   0;   0;  44;"   19.01.2020";" 12:54:45.8844";"       N/A";"       N/A";" ";"Official";
   0;   0;  45;"   19.01.2020";" 13:01:08.5193";"       N/A";"       N/A";" ";"        ";
   0;   0;  46;"   19.01.2020";" 13:02:43.2895";"       N/A";"       N/A";" ";"        ";
   0;   0;  48;"   19.01.2020";" 13:06:37.0762";"       N/A";"       N/A";" ";"        ";
   0;   0;  47;"   19.01.2020";" 13:04:13.8116";"       N/A";"       N/A";" ";"Official";
   0;   0;  51;"   19.01.2020";" 13:12:29.0603";"       N/A";"       N/A";" ";"        ";
   0;   0;  49;"   19.01.2020";" 13:08:05.1334";"       N/A";"       N/A";" ";"Official";
   0;   0;  50;"   19.01.2020";" 13:09:41.8348";"       N/A";"       N/A";" ";"        ";
   0;   0;  52;"   19.01.2020";" 13:14:44.3302";"       N/A";"       N/A";" ";"        ";
   0;   0;  53;"   19.01.2020";" 13:17:41.6061";"       N/A";"       N/A";" ";"        ";
   0;   0;  56;"   19.01.2020";" 13:22:26.0937";"       N/A";"       N/A";" ";"Official";
   0;   0;  54;"   19.01.2020";" 13:19:25.1196";"       N/A";"       N/A";" ";"Official";
   0;   0;  55;"   19.01.2020";" 13:20:59.3823";"       N/A";"       N/A";" ";"Official";
   0;   0;  57;"   19.01.2020";" 13:23:43.4436";"       N/A";"       N/A";" ";"        ";
   0;   0;  58;"   19.01.2020";" 13:24:51.1783";"       N/A";"       N/A";" ";"Official";
   0;   0;  73;"   19.01.2020";" 13:53:13.2007";"       N/A";"       N/A";" ";"Official";
