"Event";"Round";"Heat";"Date";"Hour";"Wind";"Temp";"File";"Official"
   0;   0;   2;"   26.01.2020";"  9:10:32.7190";"       N/A";"       N/A";" ";"Official";
   0;   0;   1;"   26.01.2020";"  9:05:34.0843";"       N/A";"       N/A";" ";"        ";
   0;   0;   3;"   26.01.2020";"  9:14:26.2496";"       N/A";"       N/A";" ";"        ";
   0;   0;   4;"   26.01.2020";"  9:16:40.5612";"       N/A";"       N/A";" ";"Official";
   0;   0;   5;"   26.01.2020";"  9:20:09.9538";"       N/A";"       N/A";" ";"        ";
   0;   0;   7;"   26.01.2020";"  9:25:14.5430";"       N/A";"       N/A";" ";"        ";
   0;   0;   9;"   26.01.2020";"  9:30:30.5380";"       N/A";"       N/A";" ";"Official";
   0;   0;  10;"   26.01.2020";"  9:32:39.1226";"       N/A";"       N/A";" ";"        ";
   0;   0;   8;"   26.01.2020";"  9:40:44.0182";"       N/A";"       N/A";" ";"        ";
   0;   0;  11;"   26.01.2020";"  9:44:43.7553";"       N/A";"       N/A";" ";"        ";
   0;   0;  12;"   26.01.2020";"  9:47:47.6708";"       N/A";"       N/A";" ";"        ";
   0;   0;  13;"   26.01.2020";"  9:53:04.3367";"       N/A";"       N/A";" ";"Official";
   0;   0;  14;"   26.01.2020";"  9:56:57.4734";"       N/A";"       N/A";" ";"        ";
   0;   0;  15;"   26.01.2020";" 10:00:55.3488";"       N/A";"       N/A";" ";"        ";
   0;   0;  16;"   26.01.2020";" 10:05:04.4516";"       N/A";"       N/A";" ";"        ";
   0;   0;  17;"   26.01.2020";" 10:09:40.4308";"       N/A";"       N/A";" ";"        ";
   0;   0;  18;"   26.01.2020";" 10:13:42.1179";"       N/A";"       N/A";" ";"        ";
   0;   0;  19;"   26.01.2020";" 10:20:25.1354";"       N/A";"       N/A";" ";"        ";
   0;   0;  60;"   26.01.2020";" 10:22:37.5961";"       N/A";"       N/A";" ";"        ";
   0;   0;  20;"   26.01.2020";" 10:26:19.0422";"       N/A";"       N/A";" ";"        ";
   0;   0;  21;"   26.01.2020";" 10:29:56.1456";"       N/A";"       N/A";" ";"        ";
   0;   0;  23;"   26.01.2020";" 10:33:09.4966";"       N/A";"       N/A";" ";"        ";
   0;   0;  61;"   26.01.2020";" 10:35:11.7369";"       N/A";"       N/A";" ";"        ";
   0;   0;  22;"   26.01.2020";" 10:39:39.4985";"       N/A";"       N/A";" ";"        ";
   0;   0;  25;"   26.01.2020";" 10:43:38.1791";"       N/A";"       N/A";" ";"        ";
   0;   0;  52;"   26.01.2020";" 10:47:45.2022";"       N/A";"       N/A";" ";"        ";
   0;   0;  53;"   26.01.2020";" 10:50:27.5813";"       N/A";"       N/A";" ";"        ";
   0;   0;  54;"   26.01.2020";" 10:52:27.6202";"       N/A";"       N/A";" ";"        ";
   0;   0;  55;"   26.01.2020";" 10:54:31.8722";"       N/A";"       N/A";" ";"        ";
   0;   0;  27;"   26.01.2020";" 10:56:46.2140";"       N/A";"       N/A";" ";"        ";
   0;   0;  57;"   26.01.2020";" 10:59:38.7717";"       N/A";"       N/A";" ";"        ";
   0;   0;  56;"   26.01.2020";" 10:58:12.4991";"       N/A";"       N/A";" ";"        ";
   0;   0;  58;"   26.01.2020";" 11:01:58.0013";"       N/A";"       N/A";" ";"        ";
   0;   0;  59;"   26.01.2020";" 11:03:37.6564";"       N/A";"       N/A";" ";"        ";
   0;   0;  28;"   26.01.2020";" 11:05:04.9888";"       N/A";"       N/A";" ";"        ";
   0;   0;  62;"   26.01.2020";" 11:06:15.5392";"       N/A";"       N/A";" ";"        ";
   0;   0;  64;"   26.01.2020";" 11:09:05.1281";"       N/A";"       N/A";" ";"        ";
   0;   0;  63;"   26.01.2020";" 11:07:31.0520";"       N/A";"       N/A";" ";"        ";
